business_id,business_name,category,owner_id,employees,monthly_revenue,monthly_expense,profit,tax_paid,electricity_usage,water_usage,rent,rating,latitude,longitude,established_year
a2e46a9d-7379-4a60-8559-d2f884b85394,Mital Group,IT,ab71ba55-ebde-4dbc-82b0-827a026986c2,8,107086.89,94782.27,12304.61,1845.69,5967.48,2155.37,57522.9,3.9,12.948128122587889,77.54690681548013,2001
0aa44b08-ef77-493b-882d-ce158ff9089f,Dayal-Viswanathan,IT,85a57c30-5592-4662-b893-fa19c98d86e6,11,185651.14,133738.24,51912.9,7786.94,5627.52,2715.31,52189.76,3.7,12.949879980802484,77.50466747579331,1993
7cd1a227-92fe-4c1a-95b0-fe388e687e8a,"Deep, Mani and Sura",Food,1dc258c6-7e40-4480-bbce-a7611a6e872c,20,116554.2,100830.1,15724.1,2358.61,2943.79,3610.48,65702.73,4.3,12.874026169201555,77.5989961551208,1990
0f2e81dd-8f52-485e-a4b2-6014af3bcb00,Nadig-Sachdev,Retail,5d153332-8a39-4421-b283-4768f55e1851,11,232484.4,113134.69,119349.7,17902.46,5053.93,2515.8,64727.27,4.0,12.999262137159109,77.62956592801993,2014
dad0f9ee-6b8c-495e-b8c0-4240b6dc58b4,Gour Inc,IT,1c7d90d0-5b1e-41f3-a72b-04d1f61bb8e0,22,134876.93,115811.14,19065.78,2859.87,6413.06,2652.91,74539.96,4.2,13.054997532031367,77.5687835207025,2004
087edb94-4b09-4a8e-a226-3a9947a47f20,Shere and Sons,Manufacturing,46da7f94-dedf-4a6e-8e36-d08b0a52d49f,18,118777.63,75368.41,43409.22,6511.38,7863.79,2517.94,43228.52,3.9,13.015808180611813,77.68422169865023,1990
83d42aef-de95-41d3-9f67-f4e5e1b92b98,"Murthy, Vasa and Kashyap",Manufacturing,f2c74669-9727-42c3-a8f6-152d8b346063,18,127164.97,54460.5,72704.47,10905.67,8332.26,1087.49,66406.8,4.2,12.936923556442524,77.68217963348891,2005
de9418e0-7d5a-4dbf-8656-33658fbfb707,"Mutti, Magar and Minhas",Food,bb77d3d1-9051-4545-bd72-d20dad7b8e1a,12,245273.27,107736.41,137536.87,20630.53,4411.08,1631.67,39666.73,4.2,12.971826708349267,77.67765475743742,1999
c19a14c7-4c06-41d4-bd62-21cd0edbd42d,Bajaj LLC,Food,9977ca94-242e-4e61-b899-f96cf9fee285,11,138036.73,107679.12,30357.61,4553.64,3423.42,765.77,51103.94,3.3,13.019190070249863,77.64194560645208,2003
4f895538-013f-4a20-95db-c32a8be383c9,"Ramachandran, Bahl and Chauhan",Manufacturing,9757cd28-f1da-4c43-9379-efe036a22b2c,18,240782.37,205084.55,35697.82,5354.67,4436.22,2958.04,30963.29,3.5,12.956963546430789,77.5803957836629,2007
99c97139-9da4-4ba4-8f65-354a6f9ae738,Naik PLC,IT,53ae21ca-ea66-4038-a338-67fee7e4731f,9,140369.45,71879.98,68489.47,10273.42,6226.78,2907.66,39860.34,4.1,12.951986242672698,77.52391111671518,1991
9e7aea8d-0dd4-4290-a7b2-6d4208819950,"Raghavan, Hayre and Mani",Retail,6c363d16-a965-4536-944b-5d7ebe33ff79,17,335339.96,163678.67,171661.3,25749.19,8362.33,527.87,100222.47,3.9,12.988145068215717,77.54823152759162,1992
